,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
203,19,17,16,17,17,20,25,19,20,22,20,22,20,21,21,19,20,18,17,17,17,19,21,18,14,16,21,22,23,18,17,14,18,20,16,19,22,20,14,19,19,19,17,18,20,18,21,22,24,23,24,20,24,20,19,22,16,21,19,19,18,18,22,19,20,17,16,14,18,18,23,19,24,20,23,17,16,18,20,18,22,23,22,22,20,17,21,25,20,17,23,20,18,20,18,20,14,18,20,20
204,19,23,19,22,24,20,18,24,20,21,23,23,18,25,17,20,22,22,21,18,20,23,20,15,20,18,22,23,19,21,22,19,20,21,18,21,22,23,18,21,19,16,17,18,19,25,22,20,22,20,20,20,19,20,20,18,19,20,20,21,19,19,20,20,20,23,18,17,25,19,23,26,19,22,20,19,21,20,17,19,22,19,22,22,20,20,19,24,20,20,20,15,21,21,23,24,18,27,24,22
205,21,20,21,20,20,18,16,23,19,25,24,21,22,20,19,21,19,21,16,20,17,23,20,16,24,23,20,23,22,23,16,20,21,21,20,23,21,23,18,22,20,22,19,19,20,25,16,26,21,22,20,24,22,21,24,21,14,21,19,21,19,20,20,20,17,24,20,18,21,20,20,19,18,21,20,20,19,23,26,21,19,21,22,23,25,23,18,24,20,20,25,20,23,21,26,23,15,23,24,25
206,22,21,19,22,19,21,21,21,20,21,22,19,20,22,21,16,21,24,23,19,20,21,22,14,23,17,24,21,20,21,19,17,24,16,18,20,20,21,20,21,25,19,23,22,23,21,18,23,27,22,19,20,23,18,22,22,19,23,23,22,15,21,17,19,21,18,15,20,19,20,21,15,21,17,20,19,16,18,20,19,23,20,22,18,20,21,21,21,22,20,19,18,24,18,18,19,19,22,25,20
207,24,15,21,18,21,22,18,17,18,23,21,23,18,17,17,22,19,21,18,20,18,18,18,21,22,23,17,23,26,15,24,20,20,25,20,20,18,17,20,22,19,20,25,23,21,23,19,14,19,21,17,20,20,20,23,23,21,23,24,16,17,18,17,16,19,19,19,23,17,21,24,20,22,16,19,18,21,18,18,17,21,19,18,20,21,21,22,17,23,17,14,18,20,19,16,18,24,17,15,18
208,19,15,20,18,24,20,15,20,17,18,21,18,17,21,21,21,16,20,19,23,23,16,22,22,19,21,23,21,22,20,19,18,16,18,17,20,18,19,20,22,21,16,22,14,20,22,21,25,16,24,20,17,20,21,24,20,19,18,20,20,17,18,20,17,19,26,20,24,19,19,18,16,26,18,16,18,21,16,22,23,22,21,17,19,18,19,21,20,22,19,23,19,19,20,15,21,24,22,15,17
209,18,20,26,16,17,18,20,18,18,16,20,22,16,20,22,21,20,21,18,21,22,20,21,16,19,25,18,17,22,17,24,20,17,25,21,18,20,20,20,20,22,21,21,19,23,18,15,24,22,22,20,20,16,18,21,14,21,19,19,15,15,15,19,24,19,21,20,21,20,16,20,21,17,15,17,20,21,16,21,18,19,18,20,19,16,21,20,15,19,18,18,22,17,22,19,16,26,17,17,12
210,19,13,24,21,19,20,15,18,19,17,20,20,22,20,24,22,22,19,16,22,17,19,20,19,22,23,20,15,20,21,22,15,22,20,19,19,19,18,22,23,21,18,19,21,24,18,17,23,20,23,22,22,16,22,19,19,22,24,20,16,20,19,17,18,20,19,21,24,16,19,20,22,19,21,19,20,21,17,20,20,19,14,20,17,17,19,18,11,26,24,15,21,19,16,20,23,20,21,18,16
211,22,18,22,21,21,21,22,19,22,17,20,17,21,22,21,20,20,24,17,23,17,20,16,21,18,22,24,22,22,21,24,19,19,16,16,23,14,21,18,23,23,14,21,23,15,22,18,19,21,18,16,14,20,22,21,20,17,19,21,19,16,20,19,23,20,18,19,20,19,14,22,19,22,15,19,17,21,19,22,17,19,19,21,16,21,15,21,16,22,17,17,17,18,20,14,19,21,21,17,13
212,19,18,20,17,19,21,20,22,18,21,15,21,21,15,16,20,17,19,21,22,14,20,22,20,19,24,20,20,26,13,19,17,20,16,25,20,18,23,19,21,16,18,19,20,20,19,17,21,17,21,19,20,14,21,19,19,19,21,18,15,17,18,15,20,18,19,24,22,17,21,17,21,17,22,20,20,19,18,15,16,23,19,18,21,20,15,19,17,24,21,20,22,22,19,18,20,17,13,17,16
213,17,18,22,23,24,22,20,20,21,20,19,20,21,19,17,21,21,20,20,24,20,20,20,22,19,22,21,22,25,20,23,21,22,18,22,23,21,21,24,20,22,21,25,19,20,25,20,22,19,22,18,21,22,23,21,22,22,19,24,22,23,22,20,19,20,17,24,20,17,20,22,17,17,18,18,23,24,19,18,21,18,18,19,21,19,16,22,16,19,16,22,23,20,23,20,18,22,22,17,17
214,18,18,25,24,20,23,16,19,22,19,20,23,18,20,21,22,23,22,14,20,20,20,19,21,22,24,26,21,22,16,20,21,16,21,19,22,18,21,22,20,23,18,21,18,19,21,19,21,19,26,22,17,22,22,21,23,22,19,22,19,21,20,21,21,19,19,24,23,18,20,19,20,19,23,15,21,19,20,19,19,23,21,18,17,20,22,22,18,25,19,25,22,14,21,23,18,25,20,12,19
215,21,19,22,21,20,23,17,20,19,26,18,22,18,20,23,22,19,20,18,23,22,20,24,18,18,24,21,18,22,13,23,18,20,20,22,24,22,22,21,21,20,17,25,18,21,23,23,21,23,23,25,24,14,18,19,23,22,21,22,21,19,20,14,19,18,17,22,22,22,21,24,21,23,14,22,21,20,16,19,21,19,18,23,19,21,16,20,16,23,22,20,23,19,24,18,23,20,19,16,18
216,17,13,18,18,12,20,14,17,11,14,14,18,13,12,19,16,19,14,21,17,12,21,21,19,14,19,16,19,15,14,17,17,14,18,16,18,12,14,12,15,18,11,19,14,16,19,19,15,17,22,15,13,14,18,15,15,16,13,20,13,12,15,18,14,17,15,18,16,18,15,14,17,19,18,15,20,18,18,16,16,14,17,18,13,22,16,13,19,15,16,12,13,13,17,18,17,16,18,14,14
217,19,17,11,19,17,21,10,10,18,17,15,18,15,15,20,12,15,15,20,16,18,17,17,17,17,8,19,21,19,12,16,14,16,18,13,23,16,17,14,12,14,11,19,14,13,18,14,16,18,18,12,18,17,16,16,16,16,15,16,17,18,15,18,17,17,16,14,14,18,16,15,15,16,15,11,17,13,16,14,17,13,12,17,14,18,20,16,15,14,17,19,20,17,19,13,17,8,16,16,12
218,18,18,19,15,15,18,15,18,14,15,17,18,16,15,17,16,16,17,14,19,15,17,13,19,17,13,17,14,19,18,18,15,17,16,12,15,11,18,17,15,13,15,17,15,21,18,17,16,16,21,20,14,16,15,14,19,14,17,19,14,15,12,15,14,16,10,12,16,18,15,21,15,16,12,12,17,15,15,11,17,15,14,12,19,17,15,16,15,17,18,19,14,16,20,18,16,10,15,10,15
219,19,16,15,14,13,16,18,17,21,16,19,15,18,13,20,14,15,9,15,19,19,14,19,12,13,13,19,18,17,13,14,16,14,22,16,14,17,14,12,15,12,10,17,15,17,16,18,17,17,19,18,14,15,14,18,14,14,17,24,15,13,19,17,19,17,13,18,14,16,14,13,13,20,20,16,12,14,17,13,18,16,15,11,15,17,13,21,13,17,13,17,20,20,15,14,16,16,15,18,14
220,14,14,17,16,10,20,11,19,10,18,15,20,13,16,15,17,11,15,19,20,18,16,15,15,19,17,15,14,15,18,18,15,15,13,18,18,20,16,15,17,13,15,18,19,12,17,20,14,15,20,18,18,15,13,16,17,11,14,20,14,11,17,17,17,18,14,14,13,16,14,13,17,19,14,16,11,19,18,16,15,13,16,18,12,18,13,11,18,21,10,20,13,17,19,13,21,19,14,17,15
