,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
185,6,8,7,7,5,8,4,5,8,9,6,7,6,8,9,10,8,9,8,8,12,10,10,8,7,7,7,7,5,6,6,5,8,8,9,7,5,8,8,6,5,7,6,6,6,6,11,5,6,7,8,5,5,5,2,7,8,7,8,6,8,4,5,6,11,8,7,4,4,8,6,7,7,7,6,7,6,7,6,6,8,7,7,6,7,8,7,7,9,7,8,6,8,9,7,9,7,8,6,7
186,9,6,5,10,8,8,4,5,8,5,8,7,6,9,9,5,7,9,7,6,12,7,7,7,5,7,3,6,7,4,5,7,8,7,9,4,6,7,5,7,8,7,7,6,5,5,7,7,8,7,9,6,6,5,4,6,3,6,3,8,6,7,6,6,7,6,7,7,6,5,3,5,6,7,8,7,7,7,8,3,7,6,5,5,5,8,7,8,9,7,8,9,5,8,7,8,8,7,7,6
187,9,4,7,5,7,9,8,5,5,7,5,8,6,6,8,6,4,9,8,7,9,9,8,6,5,8,6,4,6,8,6,6,8,4,8,5,4,6,7,6,7,7,9,8,7,8,8,8,6,6,7,4,5,7,5,8,6,7,7,6,7,5,6,6,9,6,6,8,5,8,6,7,8,9,7,8,6,6,5,9,5,8,6,6,7,7,5,7,9,8,7,6,6,6,6,6,8,8,7,7
188,9,7,6,6,8,7,8,5,7,7,9,7,5,6,9,7,3,7,9,10,7,4,7,9,9,4,5,7,5,8,7,6,7,7,8,7,8,9,5,6,7,6,10,8,4,8,6,5,9,6,7,6,6,7,7,6,6,7,5,8,5,7,5,7,7,6,8,6,7,9,7,5,7,6,8,7,7,4,7,8,3,6,6,8,5,4,6,6,7,8,7,9,5,7,9,8,8,9,6,5
189,6,7,7,4,6,9,9,7,7,8,9,10,7,7,9,8,4,8,6,7,6,6,7,7,6,4,6,7,7,8,7,7,7,9,8,8,5,10,6,6,7,8,8,6,6,8,6,6,6,7,7,6,4,6,7,5,5,7,4,7,7,6,7,9,7,6,9,9,5,7,8,6,5,8,6,10,9,6,7,6,9,8,7,8,6,7,8,5,10,6,6,7,8,6,6,8,9,5,4,4
190,7,5,8,7,6,7,9,5,8,6,8,6,6,7,7,6,5,6,8,6,10,8,6,10,9,6,7,7,7,5,9,3,8,8,10,6,7,7,8,8,7,6,7,6,8,9,7,8,8,5,5,6,7,6,5,3,6,8,7,6,7,4,6,7,7,8,10,9,6,7,9,7,6,6,8,7,6,7,6,8,7,6,9,6,6,7,7,7,6,5,9,9,5,7,7,8,9,8,3,6
191,6,5,7,6,9,9,5,6,7,8,6,6,8,7,8,5,7,8,7,10,8,7,8,8,9,9,5,8,8,8,6,5,8,8,9,5,8,6,6,4,5,6,8,8,6,6,6,6,9,7,7,6,5,9,8,7,6,6,8,6,6,6,8,9,9,7,9,8,5,8,6,6,5,7,4,2,8,6,7,8,8,6,8,6,5,8,5,4,8,7,5,8,5,7,8,6,8,9,5,7
192,7,7,2,3,4,6,5,4,6,7,5,3,8,5,4,6,6,4,6,8,5,4,3,6,4,4,6,4,8,7,7,7,5,9,6,5,3,5,2,6,3,4,5,3,6,6,5,5,8,3,7,7,6,6,7,3,4,4,3,7,5,8,3,3,9,4,3,5,6,5,7,6,6,8,7,7,3,5,5,8,3,7,7,5,5,7,4,1,8,7,3,7,1,5,5,6,6,6,4,5
193,5,4,8,2,7,4,8,6,5,4,8,5,5,4,7,4,3,3,6,6,5,5,6,5,5,5,7,5,5,4,7,5,6,6,4,4,6,6,6,7,4,3,6,6,5,7,5,4,5,6,6,5,9,6,4,3,3,5,5,7,7,4,6,4,6,6,4,7,4,8,8,7,6,6,3,7,4,5,4,7,3,5,8,8,6,6,3,5,9,6,7,6,5,8,4,2,5,6,4,5
194,3,4,6,3,7,4,5,7,4,6,7,5,4,6,5,7,5,3,7,6,4,5,5,6,3,5,5,5,6,6,7,6,4,5,3,5,8,6,5,7,4,5,4,5,5,9,7,4,4,6,8,4,7,4,5,4,7,7,5,6,6,5,5,4,8,8,3,5,5,7,6,5,4,2,4,4,4,6,6,5,8,6,6,6,5,7,6,6,4,6,8,8,6,5,6,3,5,6,5,4
